id_transaccion,fecha,hora,id_cliente,tipo_operacion,monto,sucursal_canal
TXN-1613,2026-08-04,09:38,C-571,Retiro Efectivo,2070.35,SUC-Centro
TXN-1451,2026-08-18,19:58,C-367,Pago Tarjeta,2445.38,SUC-Centro
TXN-1731,2026-08-21,14:29,C-194,Pago Tarjeta,2832.56,Banca Movil
TXN-1436,2026-08-13,12:50,C-431,Retiro Efectivo,1081.25,SUC-Sur
TXN-1275,2026-08-19,08:48,C-395,Pago Tarjeta,1283.47,SUC-Centro
TXN-1582,2026-08-16,20:20,C-799,Transferencia,2362.66,SUC-Centro
TXN-1707,2026-08-22,15:02,C-330,Deposito,310.13,Cajero Automático
TXN-1299,2026-08-24,07:57,C-249,Transferencia,675.35,SUC-Sur
TXN-1718,2026-08-26,07:26,C-670,Deposito,1678.76,Banca Movil
TXN-1494,2026-08-28,18:23,C-353,Transferencia,1128.66,Banca Movil
TXN-1351,2026-08-21,20:10,C-304,Transferencia,1592.39,Cajero Automático
TXN-1594,2026-08-01,20:06,C-641,Transferencia,580.45,Cajero Automático
TXN-1652,2026-08-20,14:06,C-157,Retiro Efectivo,1818.31,Banca Movil
TXN-1866,2026-08-27,18:55,C-109,Transferencia,1027.27,SUC-Norte
TXN-1294,2026-08-22,21:37,C-504,Retiro Efectivo,599.91,SUC-Sur
TXN-1066,2026-08-18,11:06,C-294,Transferencia,402.98,Banca Movil
TXN-1377,2026-08-23,15:20,C-290,Transferencia,2669.65,SUC-Centro
TXN-1682,2026-08-01,17:25,C-741,Retiro Efectivo,1307.5,SUC-Centro
TXN-1755,2026-08-15,21:01,C-990,Deposito,1168.05,SUC-Centro
TXN-1107,2026-08-24,10:40,C-510,Retiro Efectivo,1800.24,SUC-Centro
TXN-1139,2026-08-21,18:19,C-621,Transferencia,236.51,SUC-Norte
TXN-1067,2026-08-10,20:12,C-881,Transferencia,1814.72,SUC-Centro
TXN-1832,2026-08-28,11:32,C-857,Transferencia,1790.04,SUC-Norte
TXN-1213,2026-08-05,16:32,C-941,Retiro Efectivo,2304.81,Cajero Automático
TXN-1670,2026-08-14,12:06,C-246,Transferencia,1191.44,SUC-Centro
TXN-1486,2026-08-10,12:42,C-582,Transferencia,2755.86,SUC-Centro
TXN-1425,2026-08-19,10:21,C-946,Transferencia,3429.28,SUC-Sur
TXN-1363,2026-08-07,19:35,C-647,Retiro Efectivo,1803.77,Cajero Automático
TXN-1076,2026-08-03,17:55,C-192,Retiro Efectivo,3459.85,SUC-Sur
TXN-1298,2026-08-05,11:42,C-923,Transferencia,2390.46,SUC-Centro
TXN-1088,2026-08-09,16:40,C-711,Pago Tarjeta,2120.11,SUC-Centro
TXN-1059,2026-08-02,15:48,C-986,Transferencia,1348.84,SUC-Centro
TXN-1420,2026-08-02,10:04,C-279,Retiro Efectivo,1386.55,SUC-Norte
TXN-1237,2026-08-16,20:49,C-844,Retiro Efectivo,957.33,Cajero Automático
TXN-1849,2026-08-26,14:23,C-134,Pago Tarjeta,1851.05,Banca Movil
TXN-1221,2026-08-20,11:52,C-119,Pago Tarjeta,2448.41,SUC-Centro
TXN-1362,2026-08-16,13:54,C-337,Pago Tarjeta,1100.86,SUC-Norte
TXN-1023,2026-08-01,16:42,C-595,Transferencia,477.36,Cajero Automático
TXN-1030,2026-08-14,12:17,C-982,Retiro Efectivo,1256.67,Banca Movil
TXN-1477,2026-08-04,15:46,C-589,Retiro Efectivo,161.46,SUC-Norte
TXN-1266,2026-08-15,18:56,C-595,Pago Tarjeta,2815.51,Cajero Automático
TXN-1168,2026-08-22,12:26,C-948,Deposito,737.98,SUC-Norte
TXN-1589,2026-08-27,09:51,C-456,Pago Tarjeta,3417.97,SUC-Norte
TXN-1281,2026-08-03,07:20,C-424,Transferencia,680.9,Banca Movil
TXN-1493,2026-08-21,08:47,C-880,Pago Tarjeta,3416.59,SUC-Norte
TXN-1643,2026-08-24,16:35,C-145,Retiro Efectivo,2108.46,Cajero Automático
TXN-1669,2026-08-07,12:04,C-997,Pago Tarjeta,1730.81,SUC-Centro
TXN-1479,2026-08-09,13:28,C-565,Retiro Efectivo,403.56,Cajero Automático
TXN-1280,2026-08-01,21:01,C-600,Pago Tarjeta,2861.63,SUC-Norte
TXN-1535,2026-08-10,17:01,C-625,Deposito,1146.61,Banca Movil
TXN-1778,2026-08-18,16:33,C-577,Transferencia,621.34,Cajero Automático
TXN-1490,2026-08-11,08:05,C-780,Retiro Efectivo,3246.37,Banca Movil
TXN-1758,2026-08-08,12:15,C-115,Pago Tarjeta,2912.28,Banca Movil
TXN-1734,2026-08-23,15:33,C-949,Retiro Efectivo,1823.77,Banca Movil
TXN-1588,2026-08-10,07:20,C-980,Deposito,2474.46,Banca Movil
TXN-1660,2026-08-10,15:33,C-426,Retiro Efectivo,2987.29,SUC-Sur
TXN-1630,2026-08-13,11:50,C-311,Transferencia,1932.75,SUC-Sur
TXN-1440,2026-08-10,11:03,C-492,Pago Tarjeta,3277.52,SUC-Sur
TXN-1900,2026-08-03,11:45,C-198,Transferencia,2629.96,Banca Movil
TXN-9003,2026-08-15,14:40,C-888,Transferencia,9850.0,Banca Movil
TXN-1136,2026-08-21,16:58,C-247,Pago Tarjeta,3042.87,SUC-Sur
TXN-1039,2026-08-26,10:44,C-479,Pago Tarjeta,3378.97,Banca Movil
TXN-1359,2026-08-06,19:14,C-191,Pago Tarjeta,363.59,Banca Movil
TXN-1244,2026-08-05,20:41,C-432,Retiro Efectivo,766.54,Cajero Automático
TXN-1296,2026-08-07,14:40,C-453,Transferencia,2088.09,SUC-Norte
TXN-1355,2026-08-03,18:55,C-392,Transferencia,404.12,SUC-Sur
TXN-1938,2026-08-04,08:08,C-752,Pago Tarjeta,849.26,SUC-Sur
TXN-1070,2026-08-20,11:00,C-627,Retiro Efectivo,1341.09,SUC-Sur
TXN-1449,2026-08-04,10:39,C-686,Deposito,3356.23,SUC-Sur
TXN-1921,2026-08-08,12:32,C-407,Transferencia,1375.92,SUC-Norte
TXN-1342,2026-08-28,09:05,C-105,Retiro Efectivo,223.71,SUC-Centro
TXN-1312,2026-08-14,10:24,C-306,Pago Tarjeta,1134.12,SUC-Norte
TXN-1158,2026-08-16,17:28,C-426,Transferencia,2687.47,SUC-Centro
TXN-1761,2026-08-15,07:20,C-859,Deposito,1928.01,SUC-Sur
TXN-1947,2026-08-19,19:08,C-903,Transferencia,1413.24,SUC-Centro
TXN-1310,2026-08-04,13:54,C-590,Transferencia,208.6,SUC-Norte
TXN-1854,2026-08-09,08:27,C-784,Transferencia,2817.94,Cajero Automático
TXN-1063,2026-08-04,11:46,C-691,Retiro Efectivo,2386.33,Banca Movil
TXN-1813,2026-08-05,08:49,C-256,Pago Tarjeta,3475.08,Banca Movil
TXN-1199,2026-08-09,08:14,C-333,Retiro Efectivo,2558.73,Banca Movil
TXN-1593,2026-08-08,08:27,C-502,Deposito,2626.77,SUC-Sur
TXN-1516,2026-08-18,10:51,C-253,Transferencia,1351.33,SUC-Centro
TXN-1712,2026-08-27,09:10,C-925,Transferencia,1447.71,SUC-Sur
TXN-1929,2026-08-23,19:35,C-877,Retiro Efectivo,2259.01,Banca Movil
TXN-1096,2026-08-07,16:50,C-967,Deposito,1389.55,Cajero Automático
TXN-1961,2026-08-25,11:08,C-147,Pago Tarjeta,3257.51,Banca Movil
TXN-1321,2026-08-21,18:03,C-730,Pago Tarjeta,1854.71,Banca Movil
TXN-1542,2026-08-22,12:49,C-788,Transferencia,367.21,SUC-Norte
TXN-1789,2026-08-21,15:01,C-922,Retiro Efectivo,1711.23,Banca Movil
TXN-1971,2026-08-02,20:59,C-422,Deposito,3072.59,Banca Movil
TXN-1120,2026-08-25,14:04,C-663,Retiro Efectivo,358.08,SUC-Sur
TXN-1086,2026-08-04,08:25,C-388,Transferencia,2828.73,SUC-Norte
TXN-1570,2026-08-24,18:27,C-884,Retiro Efectivo,2819.72,SUC-Centro
TXN-1547,2026-08-25,16:03,C-505,Pago Tarjeta,803.64,SUC-Centro
TXN-1879,2026-08-14,14:02,C-116,Transferencia,583.99,SUC-Centro
TXN-1558,2026-08-26,17:37,C-817,Retiro Efectivo,2192.9,SUC-Sur
TXN-1533,2026-08-05,13:04,C-564,Pago Tarjeta,1285.4,Banca Movil
